RCDTS,School Name,City,SAT Reading Total Students Level 1 PC,SAT Reading Total Students Level 2 PC,SAT Reading Total Students Level 3 PC,SAT Reading Total Students Level 4 PC,SAT Math Total Students Level 1 PC,SAT Math Total Students Level 2 PC,SAT Math Total Students Level 3 PC,SAT Math Total Students Level 4 PC,SAT Reading Total Low Income Students Level 1 PC,SAT Reading Total Low Income Students Level 2 PC,SAT Reading Total Low Income Students Level 3 PC,SAT Reading Total Low Income Students Level 4 PC,SAT Math Total Low Income Students Level 1 PC,SAT Math Total Low Income Students Level 2 PC,SAT Math Total Low Income Students Level 3 PC,SAT Math Total Low Income Students Level 4 PC,Total Students SAT Math Participation PC,Low Income Students SAT Math Participation PC,Total Students SAT ELA Participation PC,Low Income Students SAT ELA Participation PC
3.03E+13,,Ramsey,39.3,46.4,14.3,0,60.7,35.7,3.6,0,47.1,47.1,5.9,0,58.8,41.2,0,0,100,100,100,100
3.03E+13,Ramsey High School,Ramsey,39.3,46.4,14.3,0,60.7,35.7,3.6,0,47.1,47.1,5.9,0,58.8,41.2,0,0,100,100,100,100
3.03E+13,Ramsey Elem School,Ramsey,,,,,,,,,,,,,,,,,,,,
3.07E+13,,Raymond,23.5,52.9,17.6,5.9,44.1,41.2,14.7,0,31.3,37.5,18.8,12.5,43.8,37.5,18.8,0,100,100,100,100
3.07E+13,Lincolnwood High School,Raymond,23.5,52.9,17.6,5.9,44.1,41.2,14.7,0,31.3,37.5,18.8,12.5,43.8,37.5,18.8,0,100,100,100,100
3.07E+13,Lincolnwood Jr High School,Raymond,,,,,,,,,,,,,,,,,,,,
3.07E+13,Farmersville Elem School,Farmersville,,,,,,,,,,,,,,,,,,,,
3.07E+13,Raymond Grade School,Raymond,,,,,,,,,,,,,,,,,,,,
3.07E+13,,Hillsboro,25.3,48.5,19.2,7.1,49.5,30.3,16.2,4,44.1,41.2,14.7,0,64.7,29.4,5.9,0,100,100,100,100
3.07E+13,Hillsboro High School,Hillsboro,25.3,48.5,19.2,7.1,49.5,30.3,16.2,4,44.1,41.2,14.7,0,64.7,29.4,5.9,0,100,100,100,100
3.07E+13,Hillsboro Jr High School,Hillsboro,,,,,,,,,,,,,,,,,,,,
3.07E+13,Beckemeyer Elem School,Hillsboro,,,,,,,,,,,,,,,,,,,,
3.07E+13,Coffeen Elem School,Coffeen,,,,,,,,,,,,,,,,,,,,
3.07E+13,,Litchfield,40.7,47.7,7,4.7,45.3,44.2,7,3.5,44,46,6,4,56,40,2,2,96.6,96.2,96.6,96.2
3.07E+13,Litchfield Senior High School,Litchfield,40.7,47.7,7,4.7,45.3,44.2,7,3.5,44,46,6,4,56,40,2,2,96.6,96.2,96.6,96.2
3.07E+13,Litchfield Middle School,Litchfield,,,,,,,,,,,,,,,,,,,,
3.07E+13,J D Colt Elem School,Litchfield,,,,,,,,,,,,,,,,,,,,
3.07E+13,Madison Park Elem School,Litchfield,,,,,,,,,,,,,,,,,,,,
3.07E+13,Russell Elem School,Litchfield,,,,,,,,,,,,,,,,,,,,
3.07E+13,Litchfield Prekindergarten,Litchfield,,,,,,,,,,,,,,,,,,,,
3.07E+13,,Nokomis,29.7,43.2,24.3,2.7,45.9,29.7,24.3,0,16.7,66.7,16.7,0,58.3,16.7,25,0,100,100,100,100
3.07E+13,Nokomis Jr/Sr High Sch,Nokomis,29.7,43.2,24.3,2.7,45.9,29.7,24.3,0,16.7,66.7,16.7,0,58.3,16.7,25,0,100,100,100,100
3.07E+13,North Elem School,Nokomis,,,,,,,,,,,,,,,,,,,,
4.00E+13,,Belvidere,23.8,44.2,24.3,7.6,37.7,35.8,22.2,4.3,35.2,45.7,16.4,2.7,53.9,32,12.5,1.6,98.7,98.5,98.7,98.5
4.00E+13,Belvidere High School,Belvidere,27.5,44.3,22.3,5.9,42.9,35.2,20.2,1.7,36.6,43.4,16.6,3.4,53.8,33.1,11,2.1,99.3,100,99.3,100
4.00E+13,Belvidere North High Sch,Belvidere,20.6,44.3,25.9,9.2,33.2,36.1,24.1,6.6,33.3,48.6,16.2,1.8,54.1,30.6,14.4,0.9,98.8,97.4,98.8,97.4
4.00E+13,Belvidere South Middle School,Belvidere,,,,,,,,,,,,,,,,,,,,
4.00E+13,Belvidere Central Middle School,Belvidere,,,,,,,,,,,,,,,,,,,,
4.00E+13,Caledonia Elem School,Caledonia,,,,,,,,,,,,,,,,,,,,
4.00E+13,Lincoln Elem School,Belvidere,,,,,,,,,,,,,,,,,,,,
4.00E+13,Perry Elem School,Belvidere,,,,,,,,,,,,,,,,,,,,
4.00E+13,Washington Academy,Belvidere,,,,,,,,,,,,,,,,,,,,
4.00E+13,Meehan Elementary School,Belvidere,,,,,,,,,,,,,,,,,,,,
4.00E+13,Seth Whitman Elem Sch,Belvidere,,,,,,,,,,,,,,,,,,,,
4.00E+13,,Poplar Grove,17.2,43.4,28.7,10.7,26.2,42.6,29.5,1.6,20,50.9,21.8,7.3,32.7,49.1,18.2,0,100,100,100,100
4.00E+13,North Boone High School,Poplar Grove,17.2,43.4,28.7,10.7,26.2,42.6,29.5,1.6,20,50.9,21.8,7.3,32.7,49.1,18.2,0,100,100,100,100
4.00E+13,North Boone Middle School,Poplar Grove,,,,,,,,,,,,,,,,,,,,
4.00E+13,Capron Elem School,Capron,,,,,,,,,,,,,,,,,,,,
4.00E+13,Manchester Elem School,Poplar Grove,,,,,,,,,,,,,,,,,,,,
4.00E+13,Poplar Grove Elem School,Poplar Grove,,,,,,,,,,,,,,,,,,,,
4.00E+13,North Boone Upper Elem Sch,Poplar Grove,,,,,,,,,,,,,,,,,,,,
4.10E+13,,Machesney Park,23.3,46.7,23.3,6.6,39,42.5,14.9,3.6,30.9,43.6,19.3,4.1,46.1,39.1,10.7,2.1,95.4,93,95.4,93
4.10E+13,Harlem High School,Machesney Park,23.3,46.7,23.3,6.6,39,42.5,14.9,3.6,30.9,43.6,19.3,4.1,46.1,39.1,10.7,2.1,95.4,93,95.4,93
4.10E+13,Harlem High School - 9th Grade Campus,Machesney Park,,,,,,,,,,,,,,,,,,,,
4.10E+13,Harlem Middle School,Loves Park,,,,,,,,,,,,,,,,,,,,
4.10E+13,Loves Park Elem School,Loves Park,,,,,,,,,,,,,,,,,,,,
